,Borough,Borough Latitude,Borough Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
136,Downtown Toronto,43.6571618,-79.37893709999999,Jazz Bistro,43.65567828473835,-79.37927565514764,Music Venue
137,Downtown Toronto,43.6571618,-79.37893709999999,Five Guys,43.65710635305761,-79.38130606340378,Burger Joint
138,Downtown Toronto,43.6571618,-79.37893709999999,Tacos 101,43.656636132918166,-79.37696796225362,Taco Place
139,Downtown Toronto,43.6571618,-79.37893709999999,The Black Canary Espresso Bar,43.65702925121356,-79.38138512728051,Café
140,Downtown Toronto,43.6571618,-79.37893709999999,Salad King,43.65760101432665,-79.38161963017174,Thai Restaurant
141,Downtown Toronto,43.6571618,-79.37893709999999,Samsung Experience Store (Eaton Centre),43.65564777812532,-79.3810108074576,Electronics Store
142,Downtown Toronto,43.6571618,-79.37893709999999,Cineplex Cinemas,43.65612555948613,-79.38039005666784,Movie Theater
143,Downtown Toronto,43.6571618,-79.37893709999999,Infuse Cafe,43.658068043552504,-79.38172645275614,Coffee Shop
144,Downtown Toronto,43.6571618,-79.37893709999999,Banh Mi Boys,43.659292,-79.381949,Sandwich Place
145,Downtown Toronto,43.6571618,-79.37893709999999,The Senator Restaurant,43.65564091455335,-79.37919882575557,Diner
146,Downtown Toronto,43.6571618,-79.37893709999999,306 Yonge Street - Jordan Store,43.65649471160899,-79.38101531134684,Sporting Goods Shop
147,Downtown Toronto,43.6571618,-79.37893709999999,Barberian's Steak House,43.65775512925926,-79.38217741375935,Steakhouse
148,Downtown Toronto,43.6571618,-79.37893709999999,Tokyo Smoke,43.65723,-79.38087,Coffee Shop
149,Downtown Toronto,43.6571618,-79.37893709999999,Nordstrom,43.655041,-79.3809665,Clothing Store
150,Downtown Toronto,43.6571618,-79.37893709999999,Balzac's Coffee,43.65785440672277,-79.37919981155157,Coffee Shop
151,Downtown Toronto,43.6571618,-79.37893709999999,JOEY Eaton Centre,43.65540379999999,-79.38192889999999,Restaurant
152,Downtown Toronto,43.6571618,-79.37893709999999,Kinka Izakaya Original,43.66059636632361,-79.37889120754515,Japanese Restaurant
153,Downtown Toronto,43.6571618,-79.37893709999999,The Grand Hotel & Suites Toronto,43.65644901207743,-79.3741100180102,Hotel
154,Downtown Toronto,43.6571618,-79.37893709999999,JOEY,43.6560936540828,-79.38187792357716,American Restaurant
155,Downtown Toronto,43.6571618,-79.37893709999999,The 3 Brewers,43.655474284721,-79.38041324445061,Beer Bar
156,Downtown Toronto,43.6571618,-79.37893709999999,Spring Sushi,43.656252529816086,-79.38065954471074,Sushi Restaurant
157,Downtown Toronto,43.6571618,-79.37893709999999,Elmwood Spa,43.6577592341367,-79.38258620521141,Spa
158,Downtown Toronto,43.6571618,-79.37893709999999,Bourbon St. Grill,43.6551351410162,-79.3808225262395,Fast Food Restaurant
159,Downtown Toronto,43.6571618,-79.37893709999999,Elgin And Winter Garden Theatres,43.653393796019586,-79.3785073962175,Theater
160,Downtown Toronto,43.6571618,-79.37893709999999,Oakham Café,43.658077944767534,-79.37831497990125,Café
161,Downtown Toronto,43.6571618,-79.37893709999999,The Queen and Beaver Public House,43.65747228208784,-79.38352412327917,Gastropub
162,Downtown Toronto,43.6571618,-79.37893709999999,Hailed Coffee,43.65883296982352,-79.38368351986598,Coffee Shop
163,Downtown Toronto,43.6571618,-79.37893709999999,Solei Tanning Salon,43.654734082347616,-79.38024826065258,Tanning Salon
164,Downtown Toronto,43.6571618,-79.37893709999999,Ryerson Athletics Centre,43.65843443942876,-79.37929610991361,College Rec Center
165,Downtown Toronto,43.6571618,-79.37893709999999,Crepe Delicious,43.654536488277245,-79.38088885547485,Fast Food Restaurant
166,Downtown Toronto,43.6571618,-79.37893709999999,Kinton Ramen,43.660631695006714,-79.37887964897601,Ramen Restaurant
167,Downtown Toronto,43.6571618,-79.37893709999999,Tim Hortons,43.656755,-79.380512,Coffee Shop
168,Downtown Toronto,43.6571618,-79.37893709999999,Chipotle Mexican Grill,43.65686,-79.38091,Mexican Restaurant
